埃	*qˤə 
昲	*pʰ[u]t-s 
費	*pʰ[u]t-s 
肺	*pʰo[t]-s 
祓	*pʰut 
沸	*Nə.p[u][t]-s 
疿	*pu[t]-s 
廢	*[p-k]ap-s 
廢	*pat-s 
祓	*po[t]-s 
𦐈	*(Cə.)pə[r] 
饙	*pu[r] 
分	*pə[n] 
焚	*[b]u[n] 
賁	*[b]ur 
粉	*mə.pənʔ 
憤	*[b]urʔ 
分	*[m]-pə[n]-s 
奮	*(Cə.)pə[r]-s (W dialect)
糞	*p[u]r-s 
豐	*pʰ(r)oŋ 
豐	*pʰ(r)oŋ 
豐	*pʰ(r)oŋ 
蜂	*pʰ(r)oŋ 
鋒	*pʰ(r)oŋ 
豐	*pʰ(r)oŋ (MC F!)
封	*p(r)oŋ 
風	*prəm 
縫	*(mə-)[b](r)oŋ (~ *C.[b](r)oŋ)
逢	*[C.b](r)oŋ 
覂	*p(r)omʔ (dialect: *-om > *-oŋ)
奉	*m-pʰ(r)oŋʔ 
縫	*C.[b](r)oŋ-s 
奉	*pʰ(r)oŋʔ 
賵	*[pʰ](r)u[ŋ]-s 
風	*prəm-s 
諷	*prəm-s 
缶	*p(r)uʔ 
否	*pəʔ 
鋪	*pʰ(r)a 
敷	*pʰ(r)a 
夫	*p(r)a 
膚	*pra 
怫	*[b][u]t-s 
幞	*[b](r)ok 
符	*[b](r)o 
夫	*[b]a 
夫	*ba 
扶	*m-[p](r)a 
扶	*m-[p](r)a 
佛	*[b][u]t 
怫	*[b][u]t 
咈	*[m-p][u]t 
枹	*[b](r)u 
蜉	*[b](r)u 
浮	*m.b(r)u 
伏	*[b]ək-s 
畐	*[b]ək 
匐	*[b]ək 
𠬝	*[b]ək 
服	*[b]ək 
服	*[b]ək 
服	*[b]ək 
箙	*[b]ək 
伏	*[b]ək 
匐	*[b]ˤək (< *[b]ˤuk ?)
刜	*pʰ[u]t 
拂	*pʰ[u]t 
彿	*pʰ[u]t 
茀	*pʰ[u]t 
艴	*pʰ[u]t 
幅	*p<r>ək 
弗	*p[u]t 
茀	*p[u]t 
紱	*put 
弗	*put 
弗	*put 
福	*pək 
輻	*pək 
幅	*pək 
幅	*pək 
輔	*[b](r)aʔ 
腐	*[b](r)oʔ 
撫	*[pʰ](r)aʔ 
鈇	*p(r)aʔ 
父	*p(r)aʔ 
斧	*p(r)aʔ 
甫	*p(r)aʔ 
脯	*p(r)aʔ 
簠	*p(r)aʔ 
府	*p(r)oʔ 
甫	*praʔ 
縛	*bak 
父	*[N-p](r)aʔ 
附	*N-p(r)oʔ-s 
傅	*[b](r)[a]-s 
阜	*[b](r)uʔ 
服	*[b]əʔ 
負	*[b]əʔ 
婦	*mə.bəʔ (or *tsə.-? see Min)
復	*[N]-pruk-s 
复	*m-p(r)uk 
復	*m-p(r)uk 
輹	*m-p(r)uk 
𠠦	*pˤrək 
副	*pʰrək 
赴	*pʰ(r)ok-s 
覆	*pʰ(r)uk-s 
副	*pʰək-s 
覆	*pʰ(r)uk 
傅	*p(r)a(ʔ)-s 
賦	*p(r)a-s 
賦	*p(r)a-s 
付	*p(r)o-s 
富	*pək-s 
腹	*p(r)uk 
複	*p(r)uk 
該	*[k]ˤə 
改	*C.qˤəʔ 
攺	*C.qˤəʔ 
蓋	*[k]ˤap-s 
匃	*[k]ˤat-s 
匃	*[k]ˤat 
概	*[k]ˤə[t]-s 
溉	*[k]ˤə[t]-s 
甘	*[k]ˤ[a]m 
干	*[k]ˤar 
乾	*[k]ˤar 
漧	*[k]ˤar 
干	*kˤa[r] 
奸	*kˤa[r] 
干	*kˤar 
干	*kˤar 
竿	*kˤar 
肝	*s.kˤa[r] 
敢	*[k]ˤamʔ 
秆	*kˤa[r]ʔ 
笴	*kˤarʔ 
簳	*kˤarʔ 
感	*kˤ[ə]mʔ 
倝	*[k]ˤar-s 
幹	*[k]ˤar-s 
贛	*k[o]mʔ 
贛	*[k]ˤom-s 
鋼	*C.kˤaŋ 
亢	*k-ŋˤaŋ 
剛	*kˤaŋ 
綱	*kˤaŋ 
高	*Cə.[k]ˤaw 
膏	*Cə.kˤaw 
皋	*[k]ˤu 
鼛	*[k]ˤu 
膏	*[k]ˤaw-s 
稿	*Cə.[k]ˤawʔ 
告	*kˤuk-s 
誥	*kˤuk-s 
告	*kˤuk 
郜	*kˤuk 
歌	*[k]ˤaj 
胳	*[C.q]ˤak 
割	*Cə-kˤat 
鴿	*[k]ˤ[ə]p (no pre-Qín exx.)
戈	*kʷˤaj 
𢓜	*kˤrak 
格	*kˤrak 
閣	*C.kˤak 
葛	*[k]ˤat 
鬲	*C.qˤ<r>ik 
隔	*[k]ˤrek 
革	*kˤrək 
革	*kˤrək 
韐	*[k]ˤ<r>[ə]p 
閤	*[k]ˤ[o]p 
韐	*[k]ˤ[ə]p 
合	*kˤop 
箇	*kˤa[r]-s 
個	*kˤa[r]-s 
个	*kˤa[r]-s 
各	*kˤak 
根	*[k]ˤə[r] 
亙	*[k]ˤəŋ-s 
更	*kˤraŋ 
庚	*kˤraŋ 
羹	*kˤraŋ 
耕	*kˤ<r>eŋ 
梗	*kˤraŋʔ 
耿	*[k]ˤreŋʔ 
更	*kˤraŋ-s 
供	*k<r>oŋ 
龏	*k<r>oŋ 
龔	*k<r>oŋ 
恭	*k<r>oŋ 
宮	*k(r)uŋ 
躳	*k(r)uŋ 
躬	*k(r)uŋ 
弓	*kʷəŋ 
公	*C.qˤoŋ 
公	*C.qˤoŋ 
工	*kˤoŋ 
工	*kˤoŋ 
功	*kˤoŋ 
攻	*kˤoŋ 
觥	*[k]ʷˤraŋ 
𠃋	*[k]ʷˤəŋ 
肱	*[k]ʷˤəŋ 
𢀜	*k(r)oŋʔ 
鞏	*k(r)oŋʔ 
廾	*k(r)oŋʔ 
𠬞	*k(r)oŋʔ 
拱	*k(r)oŋʔ 
拲	*k(r)oŋʔ 
共	*N-k(r)oŋʔ-s 
贛	*[k]ˤom-s (dialect: *-om > *-oŋ)
貢	*[k]ˤom-s ( < *[k]ˤom-s)
句	*[k]ˤ(r)o 
溝	*[k]ˤ(r)o 
篝	*[k]ˤ(r)o 
鉤	*[kˤ](r)o 
狗	*Cə.kˤroʔ 
苟	*[k]ˤ(r)oʔ 
句	*[k]ˤ(r)ok-s 
彀	*[k]ˤ(r)ok-s 
冓	*kˤ(r)o-s 
媾	*kˤ(r)o-s 
覯	*kˤ(r)o-s 
購	*kˤ(r)o-s 
訽	*qʰˤ(r)o-s 
呱	*kʷˤa 
孤	*kʷˤa 
罛	*kʷˤa 
姑	*kˤa 
菇	*mə.kˤa 
賈	*C.qˤaʔ 
牯	*Cə.kʷˤaʔ 
羖	*Cə.kʷˤaʔ 
鼓	*[k]ˤaʔ 
鼔	*[k]ˤaʔ 
瞽	*[k]ˤaʔ 
蠱	*[k]ˤaʔ 
股	*kʷˤaʔ 
古	*kˤaʔ 
谷	*C.qˤok 
穀	*[k]ˤok 
轂	*[k]ˤok 
汩	*[kʷ]ˤ[ə]t 
骨	*kˤut 
雇	*[C.q]ʷˤa(ʔ)-s 
顧	*[k]ʷˤaʔ-s (~ *[k]ʷˤaʔ)
痼	*[k]ˤa-s 
固	*[k]ˤa-s 
錮	*[k]ˤaʔ-s 
故	*kˤa(ʔ)-s 
故	*kˤaʔ-s 
騧	*[k]ˤroj 
瓜	*kʷˤra 
刮	*[kʷˤ]r[a]t 
𠯑	*[k]ʷˤat (Shuōwén; no pre-Qín exx.)
劀	*[k]ʷˤri[t] 
寡	*[C.k]ʷˤraʔ 
冎	*kʷˤrajʔ 
卦	*[k]ʷˤre-s 
挂	*[k]ʷˤre-s 
絓	*[k]ʷˤre-s 
乖	*kʷˤrəj 
夬	*[k]ʷˤret-s 
怪	*[k]ʷˤrə-s 
關	*[k]ˤro[n] 
關	*[k]ˤro[n] 
關	*kˤro[n] 
倌	*kʷˤra[n]-s 
觀	*C.qʷˤar 
冠	*[k.ʔ]ˤor 
官	*kʷˤa[n] 
棺	*kʷˤa[n] 
鰥	*[k]ʷˤrə[n] 
鰥	*[k]ʷˤrə[n] 
綸	*k.rˤu[n] (dialect: *k.rˤ- > *kˤr-)
管	*[k]ˤo[n]ʔ 
筦	*[k]ˤo[n]ʔ 
痯	*kʷˤa[n]ʔ 
管	*kʷˤa[n]ʔ 
管	*kʷˤa[n]ʔ 
館	*[k]ˤo[n]ʔ-s 
摜	*kˤro[n]-s 
慣	*kˤro[n]-s 
串	*kˤro[n]-s 
貫	*kˤo[n] 
雚	*C.qʷˤar-s 
鸛	*C.qʷˤar-s 
觀	*C.qʷˤar-s 
觀	*C.qʷˤar-s 
灌	*[C.qʷ]ˤar-s 
祼	*[k]ˤor(ʔ)-s 
冠	*k.ʔˤor-s 
貫	*kˤon-s 
光	*kʷˤaŋ 
廣	*kʷˤaŋʔ 
廣	*kʷˤaŋʔ-s 
龜	*[k]ʷə 
歸	*[k]ʷəj 
媯	*C.qʷ(r)aj 
規	*kʷe 
圭	*[k]ʷˤe 
龜	*[k]ʷrə 
瑰	*[k]ˤuj 
鬼	*k-ʔujʔ 
詭	*[k](r)ojʔ 
癸	*kʷijʔ 
簋	*kʷruʔ 
軌	*kʷruʔ 
跪	*[g](r)ojʔ 
匱	*[g]ruj-s 
櫃	*[g]ruj-s 
貴	*kuj-s 
劌	*[C.qʷ](r)a[t]-s 
撅	*k(r)[o][t]-s 
檜	*[k]ˤ[o][p]-s 
襘	*kˤop-s 
過	*Cə.kʷˤaj 
過	*kʷˤaj 
郭	*kʷˤak 
虢	*[k]ʷˤrak 
馘	*C.qʷˤ<r>ək 
國	*[C.q]ʷˤək 
果	*[k]ˤo[r]ʔ 
蜾	*kˤorʔ (*kˤorʔ.rˤorʔ, redup. infixation < *kˤorʔ ?)
裹	*s.[k]ˤo[r]ʔ 
槨	*kʷˤak 
過	*kʷˤaj-s 
蝦	*[g]ˤra 
骸	*[g]ˤrə 
孩	*[g]ˤə 
海	*m̥ˤəʔ (dialect *m̥ˤ- > x-)
害	*N-kˤat-s 
害	*m-kˤat-s 
駭	*[g]ˤrəʔ 
亥	*[g]ˤəʔ 
酣	*[g]ˤam 
邯	*[g]ˤam 
寒	*Cə.[g]ˤa[n] 
邯	*[g]ˤa[n] 
韓	*[g]ˤar 
圅	*Cə-m-kˤ[ə]m 
函	*Cə-m-kˤ[ə]m 
含	*Cə-m-kˤ[ə]m 
唅	*Cə-m-kˤ[ə]m 
涵	*[g]ˤ[o]m 
含	*Cə-m-[k]ˤ[ə]m-s 
罕	*qʰˤa[r]ʔ 
罕	*qʰˤa[r]ʔ 
旱	*[g]ˤa[r]ʔ 
汗	*Cə.[g]ˤa[r]-s 
翰	*[g]ˤar (MC implies *-s)
翰	*[g]ˤar-s 
翰	*[g]ˤar-s 
扞	*m-kˤa[r]-s 
捍	*m-kˤa[r]-s 
翰	*m-kˤar-s 
頷	*[ɢ]ˤ[ə]mʔ 
憾	*N-kˤ[ə]mʔ-s 
睅	*[ɢ]ʷˤra[r]ʔ 
暵	*n̥ˤarʔ 
厂	*ŋ̊ˤarʔ 
暵	*[qʰ]ˤarʔ-s 
漢	*n̥ˤar-s (W dialect: *n̥- > MC x-, *-r > *-n)
厂	*ŋ̊ˤar(ʔ)-s 
行	*[g]ˤaŋ 
杭	*[m]-[g]ˤaŋ 
蒿	*qʰˤaw 
茠	*qʰˤu 
薅	*qʰˤu 
號	*[C.g]ˤaw 
毫	*[g]ˤaw 
豪	*[g]ˤaw 
號	*Cə.[g]ˤaw-s 
好	*qʰˤuʔ 
浩	*[g]ˤuʔ 
号	*[g]ˤaw-s 
藃	*qʰˤaw(k)-s 
好	*qʰˤuʔ-s 
呵	*qʰˤaj 
訶	*qʰˤaj 
欱	*qʰˤ[ə]p 
河	*[C.g]ˤaj 
何	*[g]ˤaj 
荷	*[g]ˤaj 
盍	*m-[k]ˤap 
蓋	*m-[k]ˤap 
曷	*[g]ˤat 
核	*[g]ˤ<r>ək 
覈	*[g]ˤr[ə]k (or *[g]ˤrewk?)
劾	*[g]ˤək-s 
劾	*[g]ˤək 
合	*m-kˤop 
齕	*m-[q]ˤət 
禾	*[ɢ]ˤoj 
和	*[ɢ]ˤoj 
荷	*[g]ˤajʔ 
賀	*m-kˤaj-s 
鶴	*[g]ˤrawk 
翯	*[g]ˤrawk 
鶴	*[g]ˤawk 
褐	*[ɢ]ˤat 
隺	*[g]ˤawk 
和	*[ɢ]ˤoj-s 
嚇	*qʰˤ<r>ak 
赫	*qʰˤrak 
壑	*qʰˤak 
黑	*m̥ˤək (dialect *m̥ˤ- > xˤ-)
恨	*[m-q]ˤə[n]-s 
亨	*qʰˤraŋ 
桁	*[g]ˤraŋ 
衡	*[g]ˤraŋ 
恆	*[g]ˤəŋ 
橫	*C.gʷˤraŋ 
薨	*m̥ˤəŋ 
鴻	*[g]ˤoŋ 
紅	*gˤoŋ 
虹	*m-kˤoŋ 
宏	*[g]ʷˤ<r>əŋ 
弘	*[ɢ]ʷˤəŋ 
鬨	*[g]ˤoŋ-s 
侯	*[g]ˤ(r)o 
喉	*[g]ˤ(r)o 
鍭	*[g]ˤ(r)o 
猴	*mə-gˤ(r)o 
鍭	*[g]ˤ(r)o-s 
厚	*Cə.[g]ˤ(r)oʔ 
後	*[ɢ]ˤ(r)oʔ 
后	*ɢˤ(r)oʔ 
候	*[g]ˤ(r)o-s 
逅	*[g]ˤro-s 
後	*[ɢ]ˤ(r)oʔ-s 
乎	*ɢˤa 
乎	*ɢˤa 
幠	*m̥ˤa 
呼	*qʰˤa 
虍	*qʰˤra (dialect *qˤʰr- >r̥ˤ- > x-)
芴	*m̥ˤut 
忽	*m̥ˤut 
惚	*m̥ˤut 
糊	*Cə.[g]ˤa (~ *C.[g]ˤa; no pre-Qín exx.)
壺	*[g](ʷ)ˤa 
弧	*[g]ʷˤa 
狐	*[g]ʷˤa 
胡	*[g]ˤa 
湖	*[g]ˤa 
葫	*[g]ˤa 
搰	*[g]ˤut 
許	*qʰˤaʔ 
滸	*qʰˤaʔ 
滸	*qʰˤaʔ 
虎	*qʰˤraʔ (W dialect: *qˤʰr- >r̥ˤ- > x-)
祜	*[g]ˤaʔ 
鳸	*m-qʷˤaʔ 
戶	*m-qˤaʔ 
戶	*m-qˤaʔ 
扈	*m-qˤaʔ 
沍	*N-qˤaʔ-s 
瓠	*[ɢ]ʷˤa-s 
護	*[ɢ]ʷˤak-s 
互	*m-qˤaʔ-s 
枑	*m-qˤaʔ-s 
呼	*qʰˤa-s 
荂	*qʷʰ(r)a 
花	*qʷʰˤra 
華	*qʷʰˤra 
划	*C.[g]ʷˤraj (?)
華	*N-qʷʰˤra 
滑	*Nə-gˤrut 
猾	*[g]ˤrut 
猾	*[g]ˤrut 
譁	*qʷʰˤra 
輠	*[g]ˤ<r>orʔ (dialect: *-r  > *-j)
踝	*m-kˤ<r>o[r]ʔ 
華	*[ɢ]ʷˤra-s 
話	*[g]ʷˤrat-s 
畫	*C-gʷˤrek-s 
繣	*m-qʷʰˤrek-s 
劃	*gʷˤrek 
畫	*gʷˤrek 
化	*qʷʰˤ<r>aj-s 
繣	*qʷʰˤrek 
槐	*[g]ˤ<r>uj 
懷	*[g]ˤruj 
淮	*[ɢ]ʷˤrij 
槐	*[g]ˤuj 
壞	*N-[k]ˤ<r>uj-s 
壞	*m-[k]ˤ<r>uj-s 
壞	*N-[k]ˤujʔ 
壞	*m-[k]ˤujʔ 
壞	*[k]ʷˤ<r>ujʔ-s 
讙	*qʷʰar 
歡	*qʷʰˤar 
懽	*qʷʰˤar 
驩	*qʷʰˤar 
驩	*qʷʰˤar 
環	*C.ɢʷˤ<r>en 
睘	*[ɢ]ʷˤ<r>en 
還	*[ɢ]ʷˤ<r>en 
亘	*[ɢ]ʷˤar 
桓	*[ɢ]ʷˤar 
雈	*ɢʷˤar 
桓	*ɦʷˤar (< *[ɢ]ʷˤar)
貆	*qʷʰar 
緩	*[ɢ]ʷˤa[n]ʔ 
患	*[g]ˤro[n]-s 
擐	*[ɢ]ʷˤren-s 
宦	*m-kʷˤ<r>a[n]-s 
輠	*[g]ˤorʔ 
浣	*[ɢ]ˤo[n]ʔ 
換	*[ɢ]ʷˤa[n]-s 
渙	*qʷʰˤa[n]-s 
巟	*m̥ˤaŋ 
衁	*m̥ˤaŋ 
荒	*m̥ˤaŋ 
黃	*N-kʷˤaŋ 
皇	*[ɢ]ʷˤaŋ 
皇	*[ɢ]ʷˤaŋ 
徨	*[ɢ]ʷˤaŋ 
煌	*[ɢ]ʷˤaŋ 
煌	*[ɢ]ʷˤaŋ 
隍	*[ɢ]ʷˤaŋ 
蝗	*[ɢ]ʷˤaŋ 
詤	*m̥ˤaŋ 
芒	*m̥ˤaŋʔ 
詤	*m̥ˤaŋʔ 
慌	*m̥ˤaŋʔ 
隓	*lˤojʔ 
徽	*m̥əj 
揮	*qʷʰər 
暉	*qʷʰər 
煇	*qʷʰər 
輝	*qʷʰər 
楎	*qʷʰər 
墮	*l̥oj (W. dialect: *l̥- > x-)
隳	*l̥oj 
虺	*[r̥]ˤu[j] (W dialect: *r̥- > MC x-)
灰	*m̥ˤə 
回	*[ɢ]ʷˤəj 
迴	*[ɢ]ʷˤəj 
虺	*[r̥]u[j]ʔ (W dialect: *r̥- > MC x-)
𤈦	*m̥əjʔ 
虺	*r̥u[j]ʔ (W dialect: *r̥- > MC x-)
毀	*[m̥](r)ajʔ 
烜	*qʷʰarʔ (dialect: *-r > *-j)
悔	*m̥ˤəʔ 
穢	*qʷat-s 
會	*m-kˤop-s 
會	*ɦʷˤajs (< *m-kˤop-s)
慧	*[ɢ]ʷˤe[t]-s 
惠	*[ɢ]ʷˤi[j]-s 
叀	*ɢʷˤ[i]j-s 
輠	*[g]ˤurʔ 
喙	*t-l̥o[rʔ]-s 
隋	*l̥oj-s (W. dialect: *l̥- > x-)
喙	*l̥o[rʔ]-s (W dialect: *l̥- > MC x-) 
顪	*qʷʰa[t]-s 
翽	*qʷʰˤat-s 
嘒	*qʷʰˤi[t]-s 
賄	*qʷʰˤəʔ 
誨	*m̥ˤə(ʔ)-s 
晦	*m̥ˤək-s 
靧	*qʰˤuj-s 
彗	*s-[ɢ]ʷe[t]-s 
昏	*m̥ˤu[n] 
婚	*m̥ˤu[n] 
渾	*[g]ˤ[u]r 
魂	*[m.]qʷˤə[n] 
楎	*[ɢ]ʷˤər 
渾	*[g]ˤurʔ 
活	*[g]ʷˤat 
夥	*[gʷˤ]ajʔ 
火	*[qʷʰ]ˤəjʔ 
禍	*[g]ʷˤajʔ 
擭	*m-qʷˤrak-s 
穫	*m-qʷˤak 
蒦	*m-qʷˤrak 
獲	*m-qʷˤrak 
或	*[ɢ]ʷˤək 
惑	*[ɢ]ʷˤək 
貨	*qʷʰˤaj-s 
濊	*qʷʰˤat 
畿	*[g]ə[r] (dialect: *-r > *-j?)
屐	*Cə.[g]rek 
枅	*[k]ˤer (dialect: *-r > *-j)
笄	*[k]ˤer  (dialect: *-r > *-j)
雞	*kˤe 
鷄	*kˤe 
𥝌	*kˤij 
稽	*kˤij 
稽	*kˤij 
稽	*kˤij 
激	*[k]ˤewk 
擊	*kˤik 
姬	*[k](r)ə 
箕	*k(r)ə 
基	*k(r)ə 
飢	*Cə.k<r>ə[j] 
肌	*krə[j] 
机	*krəjʔ 
饑	*kə[j] 
幾	*kəj 
機	*kəj 
奇	*[k](r)aj 
羈	*kraj 
䪡	*[ts]ˤij 
躋	*[ts]ˤəj 
隮	*[ts]ˤəj 
績	*[ts]ˤek 
積	*[ts]ek 
輯	*[dz][u]p 
集	*[dz][u]p 
疾	*[dz]i[t] 
籍	*[dz]Ak 
藉	*[dz]Ak 
極	*[g](r)ək 
及	*[m-k-]rəp 
佶	*[g]ri[t] 
亟	*k(r)ək 
棘	*krək 
朸	*krək 
急	*[k](r)əp 
級	*k(r)əp 
吉	*C.qi[t] (*C.q- > *k-, escaping palatalization)
即	*[ts]ik 
即	*[ts]ik 
揖	*s.qrip (dialect: MC tsr- > ts-)
堲	*tsik 
楫	*[ts]əp (MC V!)
濈	*s.q<r>[i]p 
輯	*ts<r>[u]p 
己	*k(r)əʔ 
己	*k(r)əʔ 
紀	*k(r)əʔ 
几	*C.kr[ə]jʔ 
給	*[k](r)[ə]p 
幾	*kəjʔ 
戟	*[k]rak 
丮	*[k]rak 
濟	*[ts]ˤ[i]jʔ 
濟	*[ts]ˤəjʔ 
濟	*[ts]ˤəjʔ 
泲	*tsˤ[i]jʔ 
脊	*[ts]ek 
薺	*dzˤ[ə]jʔ 
寂	*s-[d]ˤiwk 
忌	*m-k(r)ək-s 
暨	*[m-k-]rəp-s 
踦	*[g](r)ajʔ 
伎	*[g]reʔ 
技	*[g]reʔ 
芰	*[g]re-s 
悸	*[g]ʷi[t]-s 
繫	*Cə.kˤe-s 
繼	*[k]ˤ[e]-s 
髻	*kˤi[t]-s 
計	*kˤij-s 
記	*C.k(r)ə(ʔ)-s 
冀	*[k]rə[t]-s (dial. < *[k]rək-s ?)
既	*[k]ə[t]-s 
寄	*C.[k](r)aj-s 
罽	*[k](r)[a][t]-s 
猘	*k<r>e[t]-s 
瘈	*ke[t]-s (dialect: no palatalization)
季	*kʷi[t]-s 
濟	*[ts]ˤ[i]j(ʔ)-s 
濟	*[ts]ˤ[i]j(ʔ)-s 
績	*[ts]ˤek 
稷	*[ts]ək 
穄	*[ts][a][t]-s 
際	*[ts][a]p-s 
祭	*[ts]et-s 
跡	*[ts]ek 
迹	*[ts]ek 
𨒪	*[ts]ek 
蹟	*[ts]ek 
嘉	*kˤ<r>aj 
家	*kˤra 
豭	*kˤra 
加	*kˤraj 
梜	*C.kˤ<r>ep (MC -aep is irregular)
夾	*kˤ<r>ep 
梜	*kˤep 
戛	*kˤrik 
跲	*[k](r)op 
叚	*Cə.kˤraʔ 
假	*Cə.kˤraʔ 
斝	*[k]ˤraʔ 
假	*kˤraʔ 
甲	*[k]ˤr[a]p 
賈	*C.qˤ<r>aʔ-s (or *mə.qˤ<r>aʔ-s?)
價	*C.qˤ<r>aʔ-s (or *mə.qˤ<r>aʔ-s?)
嫁	*kˤra-s 
稼	*kˤra-s 
駕	*kˤraj-s 
嫁	*s-kˤra-s 
佳	*[k]ˤre 
戔	*[dz]ˤa[n] 
監	*[k]ˤram 
姦	*[k]ˤran 
蕑	*k.rˤan (dialect: *k.rˤ- > *kˤr-)
蕑	*k.rˤe[n] (dialect: *k.rˤ- > kˤr-)
間	*kˤre[n] 
間	*kˤre[n] 
𡏳	*kˤrə[r] 
艱	*kˤrə[r] 
囏	*kˤrə[r] 
兼	*[k]ˤem 
蒹	*[k]ˤem 
豣	*[k]ˤe[n] 
肩	*[k]ˤe[n] 
枅	*[k]ˤer (W dialect)
堅	*kˤi[ŋ] 
𩱡	*C.qa[n] 
漸	*[ts]am 
熸	*ts[o]m 
儉	*[g]r[a]mʔ 
減	*m-kˤr[ə]mʔ 
減	*kˤr[ə]mʔ 
柬	*kˤr[a]nʔ 
揀	*kˤr[a]nʔ 
簡	*kˤre[n]ʔ 
簡	*kˤre[n]ʔ 
繭	*kˤ[e][n]ʔ 
檢	*[k]r[a]mʔ 
𢵈	*krenʔ 
䭕	*Cə.ts[a]mʔ 
翦	*[ts][e][n]ʔ 
荐	*N-tsˤə[n]-s 
荐	*[N-ts]ˤə[n]-s 
洊	*[N-ts]ˤə[n]-s 
栫	*[dz]ˤə[n]-s 
漸	*[dz]amʔ 
踐	*[dz]a[n]ʔ 
俴	*[dz]e[n]ʔ 
賤	*[dz][a][n]-s 
件	*[g]r[a][n]ʔ (no pre-Qín exx?)
檻	*[g]ˤramʔ 
檻	*[g]ˤramʔ 
檻	*[g]ˤamʔ 
監	*kˤram-s 
澗	*[k]ˤra[n]-s (rhymes as if *[k]ˤra[n])
諫	*kˤranʔ(-s) (~ *kˤranʔ)
見	*[k]ˤen-s 
劍	*s.kr[a]m-s 
建	*[k]a[n]-s 
僭	*tsˤ[i]m-s 
薦	*Cə.tsˤə[r]-s 
濺	*[ts][a][n]-s 
箭	*[ts]en-s 
江	*kˤroŋ 
姜	*C.qaŋ 
薑	*[k]aŋ 
畺	*kaŋ 
疆	*kaŋ 
將	*[ts]aŋ 
漿	*[ts]aŋ 
講	*kˤroŋʔ 
奬	*[ts]aŋʔ 
匠	*s.baŋ-s 
虹	*kˤroŋ-s 
降	*kˤruŋ-s (? < *-[u]m-s)
將	*[ts]aŋ-s 
醬	*[ts]aŋ-s 
茭	*[k]ˤr[a]w 
交	*[k]ˤraw 
郊	*[k]ˤraw 
膠	*[k]ˤriw 
教	*s.[k]ˤraw 
徼	*[k]ˤew 
椒	*s.tˤiw 
椒	*S.tew 
焦	*S.tew 
焦	*S.tew 
膠	*[k]ˤriwʔ 
絞	*k-rˤ[i]wʔ (dialect: *k.rˤ- > *kˤr-) 
攪	*kˤruʔ 
鉸	*mə-[k]ˤr[a]wʔ 
角	*C.[k]ˤrok 
